Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Haploperla,103260,FALSE,,DNI,Chloroperlidae,103202,Chloroperlidae,DNI
Haploperla chilnualna,103267,FALSE,,DNI,Chloroperlidae,103202,Chloroperlidae,DNI
Haplotaxida,68498,FALSE,,DNI,Haplotaxis,68505,Oligochaeta,DNI
Haplotaxidae,68504,FALSE,,DNI,Haplotaxis,68505,Oligochaeta,DNI
Haplotaxis,68505,FALSE,,DNI,Haplotaxis,68505,Oligochaeta,DNI
Harnischia,129516,FALSE,,DNI,Harnischia,129516,Harnischia,DNI
Harpacticoida,86110,TRUE,Generally excluded in lotic benthic samples,DNI,DNI,FALSE,DNI,DNI
Hayesomyia senata,-158,FALSE,,Thienemannimyia Group,Thienemannimyia Group,-276,Thienemannimyia Group,Thienemannimyia Group
Heleniella,128730,FALSE,,Heleniella,Heleniella,128730,Heleniella,Heleniella
Helesius,692181,TRUE,Terrestrial,DNI,DNI,FALSE,DNI,DNI
Helichus,114006,FALSE,,DNI,Helichus,114006,Helichus,DNI
Helicopsyche,117016,FALSE,,Helicopsyche,Helicopsyche,117016,Helicopsyche,Helicopsyche
Helicopsyche borealis,117020,FALSE,,Helicopsyche,Helicopsyche,117016,Helicopsyche,Helicopsyche
Helicopsychidae,117015,FALSE,,Helicopsyche,Helicopsyche,117016,Helicopsyche,Helicopsyche
Helisoma,76599,FALSE,,DNI,Helisoma,76599,Helisoma,DNI
Helisoma anceps,76600,FALSE,,DNI,Helisoma,76599,Helisoma,DNI
Helius,119690,FALSE,,DNI,Helius,119690,Helius,DNI
Helobdella,69396,FALSE,,Hirudinida,Helobdella,69396,Helobdella,Hirudinida
Helobdella elongata,FALSE,FALSE,best to leave at genus,Hirudinida,Helobdella,69396,Helobdella,DNI
Helobdella papillata,69403,FALSE,,Hirudinida,Helobdella,69396,Helobdella,Hirudinida
Helobdella stagnalis,69398,FALSE,,Hirudinida,Helobdella,69396,Helobdella,Hirudinida
Helobdella stagnalis complex,FALSE,FALSE,,Hirudinida,Helobdella,69396,Helobdella,Hirudinida
Helobdella triserialis,69399,FALSE,,Hirudinida,Helobdella,69396,Helobdella,Hirudinida
Helochares,113150,FALSE,,Hydrophilidae,Helochares,113150,Helochares,Hydrophilidae
Helochares normatus,722315,FALSE,,Hydrophilidae,Helochares,113150,Helochares,Hydrophilidae
Helodon,-144,FALSE,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,-272,Helodon/Prosimulium,Helodon/Prosimulium
Helodon onychodactylum,FALSE,FALSE,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,-272,Helodon/Prosimulium,Helodon/Prosimulium
Helodon onychodactylum group,FALSE,FALSE,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,-272,Helodon/Prosimulium,Helodon/Prosimulium
Helodon onychodactylus complex,FALSE,FALSE,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,-272,Helodon/Prosimulium,Helodon/Prosimulium
Helodon/Prosimulium,-272,FALSE,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,-272,Helodon/Prosimulium,Helodon/Prosimulium
Helopelopia,128131,FALSE,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,-276,Thienemannimyia Group,Thienemannimyia Group
Helophorus,113106,FALSE,,DNI,Helophorus,113106,Helophorus,DNI
Hemerobiidae,115080,TRUE,Terrestrial,DNI,DNI,FALSE,DNI,DNI
Hemerodromia,136327,FALSE,,Hemerodromia,Hemerodromia,136327,Hemerodromia,Hemerodromia
Hemerodromiinae,136290,FALSE,,DNI,Empididae,135830,Empididae,DNI
Hemerodromiini,136304,FALSE,,DNI,Empididae,135830,Empididae,DNI
Hemiptera,103359,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Henlea,68541,FALSE,,DNI,Henlea,68541,Oligochaeta,DNI
Heptagenia,100602,FALSE,,DNI,Heptageniidae,100504,Heptageniidae,DNI
Heptagenia group,FALSE,FALSE,,DNI,Heptageniidae,100504,Heptageniidae,DNI
